what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.debug.ui,3.6.0.v20110512,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1413634542351
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1413634542658
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413634543517
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1413634544944
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413634547464
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1413634548105
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1413634565588
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1413634569308
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1413634583836
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1413634584054
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1413634584321
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413634600568
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413634632762
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1413634632784
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1413634641038
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413634643409
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413634645643
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1413634645650
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413634650607
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413634732585
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1413634732613
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1413634736620
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1413634736727
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413634763715
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413662483559
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413662487833
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413662488521
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413662616916
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413664869282
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413664873395
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413664874920
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413664881427
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413685316610
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413685318183
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413685319159
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413685319260
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413685321095
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1413685321467
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1413685322130
stopped,bundle,org.eclipse.mylyn.pde.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.pde.ui",1413685322143
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.300.v20110523-1600,"org.eclipse.pde.api.tools.ui",1413685322151
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20110516,"org.eclipse.pde.ds.ui",1413685322162
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20110508,"org.eclipse.pde.runtime",1413685323031
